placeType,scenario,order,speaker,korean,english,romanization,vocabulary
restaurant,2. Asking for Recommendations (추천 받기),4,Customer,돼지고기 구이예요. 아주 맛있어요.,It's grilled pork belly. Very delicious.,Dwaejigogi guiyeyo. Aju masisseoyo.,
restaurant,2. Asking for Recommendations (추천 받기),5,Staff,그럼 삼겹살 2인분 주세요.,Then two servings of samgyeopsal please.,Geureom samgyeopsal i-inbun juseyo.,
restaurant,2. Asking for Recommendations (추천 받기),6,Customer,네 좋은 선택이에요!,Yes good choice!,Ne joeun seontaegieyo!,
restaurant,2. Asking for Recommendations (추천 받기),7,Staff,반찬은 뭐가 나와요?,What side dishes come with it?,Banchaneun mwoga nawayo?,
restaurant,2. Asking for Recommendations (추천 받기),8,Customer,김치 쌈 그리고 여러 가지 나와요.,Kimchi,Gimchi ssam geurigo yeoreo gaji nawayo.,
restaurant,3. Paying the Bill (계산하기),1,Staff,계산해 주세요.,Check please.,Gyesanhae juseyo.,
restaurant,3. Paying the Bill (계산하기),2,Customer,네 총 25000원입니다.,Yes it's 25,Ne chong iman-ocheon-wonimida.,
restaurant,3. Paying the Bill (계산하기),3,Staff,카드 되나요?,Do you accept cards?,Kadeu doenayo?,
restaurant,3. Paying the Bill (계산하기),4,Customer,네 됩니다.,Yes we do.,Ne doemnida.,
restaurant,3. Paying the Bill (계산하기),5,Staff,영수증 주세요.,Receipt please.,Yeongsujeung juseyo.,
restaurant,3. Paying the Bill (계산하기),6,Customer,여기 있습니다.,Here you are.,Yeogi isseumnida.,
restaurant,3. Paying the Bill (계산하기),7,Staff,맛있었어요. 감사합니다.,It was delicious. Thank you.,Masissseosseoyo. Gamsahamnida.,
restaurant,3. Paying the Bill (계산하기),8,Customer,감사합니다. 또 오세요!,Thank you. Please come again!,Gamsahamnida. Tto oseyo!,
restaurant,4. Making Reservation (예약하기),1,Staff,예약하고 싶은데요.,I'd like to make a reservation.,Yeyakhago sipeundeyo.,
restaurant,4. Making Reservation (예약하기),2,Customer,몇 분이세요?,How many people?,Myeot buniseyo?,
restaurant,4. Making Reservation (예약하기),3,Staff,4명이요. 오늘 저녁 7시에요.,Four people. Today at 7 PM.,Ne-myeong-iyo. Oneul jeonyeok ilgopsi-eyo.,
restaurant,4. Making Reservation (예약하기),4,Customer,네 자리 있어요. 성함이 어떻게 되세요?,Yes we have a table. What is your name?,Ne jari isseoyo. Seonghami eotteoke doeseyo?,
restaurant,4. Making Reservation (예약하기),5,Staff,제 이름은 존이에요.,My name is John.,Je ireumeun Jon-ieyo.,
restaurant,4. Making Reservation (예약하기),6,Customer,존 님 4분 저녁 7시 예약했습니다.,John,Jon nim ne-bun jeonyeok ilgopsi yeyakhaesseumnida.,
restaurant,4. Making Reservation (예약하기),7,Staff,창가 자리로 부탁해요.,Window seat please.,Changga jariro butakhaeyo.,
restaurant,4. Making Reservation (예약하기),8,Customer,네 준비해 드릴게요.,Yes I'll arrange that.,Ne junbihae deurilgeyo.,
hotel,1. Check-in (체크인),1,Staff,체크인하려고요.,I'd like to check in.,Chekeuinharyeogoyo.,
hotel,1. Check-in (체크인),2,Customer,예약하셨어요?,Do you have a reservation?,Yeyakasyeosseoyo?,
hotel,1. Check-in (체크인),3,Staff,네 제 이름은 마이클입니다.,Yes my name is Michael.,Ne je ireumeun Maikeul-imnida.,
hotel,1. Check-in (체크인),4,Customer,네 찾았어요. 2박이시죠?,Yes found it. Two nights right?,Ne chajasseoyo. I-bagisijyo?,
hotel,1. Check-in (체크인),5,Staff,네 맞아요.,Yes that's right.,Ne majayo.,
hotel,1. Check-in (체크인),6,Customer,여권 보여주시겠어요?,May I see your passport?,Yeogwon boyeojusigesseoyo?,
hotel,1. Check-in (체크인),7,Staff,여기 있습니다.,Here it is.,Yeogi isseumnida.,
hotel,1. Check-in (체크인),8,Customer,감사합니다. 방은 705호입니다.,Thank you. Your room is 705.,Gamsahamnida. Bangeun chilbaeg-o-hoimnida.,
hotel,2. Check-out (체크아웃),1,Staff,체크아웃하려고요.,I'd like to check out.,Chekeuautharyeogoyo.,
hotel,2. Check-out (체크아웃),2,Customer,방 번호가 어떻게 되세요?,What is your room number?,Bang beonhoga eotteoke doeseyo?,
hotel,2. Check-out (체크아웃),3,Staff,705호요.,Room 705.,Chilbaeg-o-hoyo.,
hotel,2. Check-out (체크아웃),4,Customer,미니바 이용하셨어요?,Did you use the minibar?,Miniba iyongasyeosseoyo?,
hotel,2. Check-out (체크아웃),5,Staff,아니요 안 했어요.,No I didn't.,Aniyo an haesseoyo.,
hotel,2. Check-out (체크아웃),6,Customer,총 240000원입니다.,The total is 240,Chong isipsa-man-wonimida.,
hotel,2. Check-out (체크아웃),7,Staff,카드로 계산할게요.,I'll pay by card.,Kadeuro gyesanhalgeyo.,
hotel,2. Check-out (체크아웃),8,Customer,감사합니다. 좋은 여행 되세요.,Thank you. Have a nice trip.,Gamsahamnida. Joeun yeohaeng doeseyo.,
hotel,3. Room Service (서비스 요청),1,Staff,룸서비스 부탁드려요.,Room service please.,Rumseobiseu butakdeuryeoyo.,
hotel,3. Room Service (서비스 요청),2,Customer,네 무엇을 도와드릴까요?,Yes how may I help you?,Ne mueoseul dowadeurilkkayo?,
hotel,3. Room Service (서비스 요청),3,Staff,수건 좀 더 주세요.,Please bring more towels.,Sugeon jom deo juseyo.,
hotel,3. Room Service (서비스 요청),4,Customer,네 바로 보내드릴게요.,Yes I'll send them right away.,Ne baro bonaedeurilgeyo.,
hotel,3. Room Service (서비스 요청),5,Staff,그리고 아침 식사는 몇 시예요?,And what time is breakfast?,Geurigo achim siksaneun myeot siyeyo?,
hotel,3. Room Service (서비스 요청),6,Customer,7시부터 10시까지요.,From 7 to 10 AM.,Ilgopsibuteo yeolsikkkajiyo.,
hotel,3. Room Service (서비스 요청),7,Staff,감사합니다.,Thank you.,Gamsahamnida.,
hotel,3. Room Service (서비스 요청),8,Customer,더 필요한 거 있으시면 말씀해 주세요.,Please let us know if you need anything else.,Deo piryohan geo isseusimyeon malsseumhae juseyo.,
hotel,4. Asking About Amenities (시설 문의),1,Staff,수영장이 있어요?,Is there a swimming pool?,Suyeongjang-i isseoyo?,
hotel,4. Asking About Amenities (시설 문의),2,Customer,네 지하 1층에 있어요.,Yes it's in basement level 1.,Ne jiha il-cheunge isseoyo.,
hotel,4. Asking About Amenities (시설 문의),3,Staff,몇 시까지 이용할 수 있어요?,Until what time can I use it?,Myeot sikkaji iyonghal su isseoyo?,
hotel,4. Asking About Amenities (시설 문의),4,Customer,밤 10시까지요.,Until 10 PM.,Bam yeolsikkkajiyo.,
hotel,4. Asking About Amenities (시설 문의),5,Staff,헬스장도 있나요?,Is there a gym too?,Helseujangdo innayo?,
hotel,4. Asking About Amenities (시설 문의),6,Customer,네 수영장 옆에 있어요.,Yes it's next to the pool.,Ne suyeongjang yeope isseoyo.,
hotel,4. Asking About Amenities (시설 문의),7,Staff,무료인가요?,Is it free?,Muryoingayo?,
hotel,4. Asking About Amenities (시설 문의),8,Customer,네 투숙객은 무료예요.,Yes it's free for hotel guests.,Ne tusukgaegeun muryoyeyo.,
trainstation,1. Buying Tickets (표 구매),1,Staff,서울행 기차표 한 장 주세요.,One ticket to Seoul please.,Seoul-haeng gichapyo han jang juseyo.,
trainstation,1. Buying Tickets (표 구매),2,Customer,몇 시 기차로 드릴까요?,What time train would you like?,Myeot si gicharo deurilkkayo?,
trainstation,1. Buying Tickets (표 구매),3,Staff,오전 10시 있어요?,Is there one at 10 AM?,Ojeon yeolsi isseoyo?,
trainstation,1. Buying Tickets (표 구매),4,Customer,네 있어요. KTX로 하시겠어요?,Yes there is. Would you like KTX?,Ne isseoyo. KTX-ro hasigesseoyo?,
trainstation,1. Buying Tickets (표 구매),5,Staff,네 KTX로 주세요.,Yes KTX please.,Ne KTX-ro juseyo.,
trainstation,1. Buying Tickets (표 구매),6,Customer,일반석 특실 중에 어떤 걸로요?,Regular or first class?,Ilbanseok teuksil junge eotteon geollo-yo?,
trainstation,1. Buying Tickets (표 구매),7,Staff,일반석이요. 얼마예요?,Regular please. How much?,Ilbanseog-iyo. Eolmayeyo?,
trainstation,1. Buying Tickets (표 구매),8,Customer,59800원입니다.,It's 59,Ogubaek-wonimida.,
trainstation,2. Checking Schedule (시간표 확인),1,Staff,부산행 기차 시간표 볼 수 있어요?,Can I see the timetable for Busan?,Busan-haeng gicha siganpyo bol su isseoyo?,
trainstation,2. Checking Schedule (시간표 확인),2,Customer,네 여기 화면에서 보세요.,Yes look at this screen.,Ne yeogi hwamyeoneseo boseyo.,
trainstation,2. Checking Schedule (시간표 확인),3,Staff,다음 기차는 몇 시예요?,What time is the next train?,Daeum gichaneun myeot siyeyo?,
trainstation,2. Checking Schedule (시간표 확인),4,Customer,11시 30분이요.,At 11:30.,Yeolhansi samsip-bun-iyo.,
trainstation,2. Checking Schedule (시간표 확인),5,Staff,얼마나 걸려요?,How long does it take?,Eolmana geollyeoyo?,
trainstation,2. Checking Schedule (시간표 확인),6,Customer,약 2시간 30분이요.,About 2 hours 30 minutes.,Yak du-sigan samsip-bun-iyo.,
trainstation,2. Checking Schedule (시간표 확인),7,Staff,알겠습니다. 감사합니다.,I see. Thank you.,Algessseumnida. Gamsahamnida.,
trainstation,2. Checking Schedule (시간표 확인),8,Customer,좋은 여행 되세요.,Have a good trip.,Joeun yeohaeng doeseyo.,
trainstation,3. Finding Platform (승강장 찾기),1,Staff,서울행 기차는 몇 번 승강장이에요?,Which platform for Seoul train?,Seoul-haeng gichaneun myeot beon seunggangjangi-eyo?,
trainstation,3. Finding Platform (승강장 찾기),2,Customer,3번 승강장이요.,Platform 3.,Sam-beon seunggangjang-iyo.,
trainstation,3. Finding Platform (승강장 찾기),3,Staff,어디로 가면 돼요?,How do I get there?,Eodiro gamyeon dwaeyo?,
trainstation,3. Finding Platform (승강장 찾기),4,Customer,저쪽 계단으로 내려가세요.,Go down those stairs over there.,Jeojjok gyedaneuro naeryeogaseyo.,
trainstation,3. Finding Platform (승강장 찾기),5,Staff,기차가 몇 분 후에 와요?,How many minutes until the train comes?,Gichaga myeot bun hue wayo?,
trainstation,3. Finding Platform (승강장 찾기),6,Customer,약 10분 후에요.,About 10 minutes.,Yak sip-bun hueyo.,
trainstation,3. Finding Platform (승강장 찾기),7,Staff,감사합니다.,Thank you.,Gamsahamnida.,
trainstation,3. Finding Platform (승강장 찾기),8,Customer,천만에요.,You're welcome.,Cheonmaneyo.,
trainstation,4. Taking KTX (KTX 이용),1,Staff,KTX가 뭐예요?,What is KTX?,KTX-ga mwoyeyo?,
trainstation,4. Taking KTX (KTX 이용),2,Customer,한국의 고속철도예요.,It's Korea's high-speed rail.,Hangugui gosokcholdoyeyo.,
trainstation,4. Taking KTX (KTX 이용),3,Staff,얼마나 빨라요?,How fast is it?,Eolmana ppallayo?,
trainstation,4. Taking KTX (KTX 이용),4,Customer,시속 300km까지 가요.,Up to 300km per hour.,Sisok sambaek kilomiteokkaji gayo.,
trainstation,4. Taking KTX (KTX 이용),5,Staff,일반 기차보다 비싸요?,Is it more expensive than regular trains?,Ilban gichaboda bissayo?,
trainstation,4. Taking KTX (KTX 이용),6,Customer,네 조금 더 비싸지만 빨라요.,Yes a bit more expensive but faster.,Ne jogeum deo bissajiman ppallayo.,
trainstation,4. Taking KTX (KTX 이용),7,Staff,그럼 KTX로 할게요.,Then I'll take KTX.,Geureom KTX-ro halgeyo.,
trainstation,4. Taking KTX (KTX 이용),8,Customer,좋은 선택이에요.,Good choice.,Joeun seontaeg-ieyo.,
busstation,1. Buying Tickets (표 구매),1,Staff,대전행 버스표 주세요.,One ticket to Daejeon please.,Daejeon-haeng beoseupyo juseyo.,
busstation,1. Buying Tickets (표 구매),2,Customer,몇 시 출발로요?,What time departure?,Myeot si chulballo-yo?,
busstation,1. Buying Tickets (표 구매),3,Staff,가장 빠른 버스로요.,The earliest bus please.,Gajang ppareun beoseuro-yo.,
busstation,1. Buying Tickets (표 구매),4,Customer,1시 30분 있어요.,There's one at 1:30.,Han-si samsip-bun isseoyo.,
busstation,1. Buying Tickets (표 구매),5,Staff,좋아요. 얼마예요?,Good. How much?,Joayo. Eolmayeyo?,
busstation,1. Buying Tickets (표 구매),6,Customer,18000원이요.,18,Man-palcheon-won-iyo.,
busstation,1. Buying Tickets (표 구매),7,Staff,카드로 해도 돼요?,Can I pay by card?,Kadeuro haedo dwaeyo?,
busstation,1. Buying Tickets (표 구매),8,Customer,네 됩니다.,Yes you can.,Ne doemnida.,
busstation,2. Checking Schedule (시간표 확인),1,Staff,경주행 버스는 얼마나 자주 있어요?,How often do buses to Gyeongju run?,Gyeongju-haeng beoseuneun eolmana jaju isseoyo?,
busstation,2. Checking Schedule (시간표 확인),2,Customer,30분마다 있어요.,Every 30 minutes.,Samsip-bunmada isseoyo.,
busstation,2. Checking Schedule (시간표 확인),3,Staff,마지막 버스는 몇 시예요?,What time is the last bus?,Majimak beoseuneun myeot siyeyo?,
busstation,2. Checking Schedule (시간표 확인),4,Customer,밤 9시요.,9 PM.,Bam ahupssiyo.,
busstation,2. Checking Schedule (시간표 확인),5,Staff,경주까지 얼마나 걸려요?,How long to Gyeongju?,Gyeongjukkaji eolmana geollyeoyo?,
busstation,2. Checking Schedule (시간표 확인),6,Customer,약 4시간이요.,About 4 hours.,Yak ne-sigan-iyo.,
busstation,2. Checking Schedule (시간표 확인),7,Staff,알겠어요. 감사합니다.,I see. Thank you.,Algesseoyo. Gamsahamnida.,
busstation,2. Checking Schedule (시간표 확인),8,Customer,안녕히 가세요.,Goodbye.,Annyeonghi gaseyo.,
busstation,3. Asking Destination (목적지 문의),1,Staff,이 버스 인천공항 가요?,Does this bus go to Incheon Airport?,I beoseu Incheon-gonghang gayo?,
busstation,3. Asking Destination (목적지 문의),2,Customer,아니요. 저쪽 버스 타세요.,No. Take that bus over there.,Aniyo. Jeojjok beoseu taseyo.,
busstation,3. Asking Destination (목적지 문의),3,Staff,몇 번 버스예요?,What number bus?,Myeot beon beoseu-yeyo?,
busstation,3. Asking Destination (목적지 문의),4,Customer,6002번이요.,Number 6002.,Yukcheon-i-beon-iyo.,
busstation,3. Asking Destination (목적지 문의),5,Staff,어디서 타요?,Where do I board?,Eodiseo tayo?,
busstation,3. Asking Destination (목적지 문의),6,Customer,5번 정류장에서요.,At stop number 5.,O-beon jeongnyujang-eseoyo.,
busstation,3. Asking Destination (목적지 문의),7,Staff,공항까지 얼마나 걸려요?,How long to the airport?,Gonghangkkaji eolmana geollyeoyo?,
busstation,3. Asking Destination (목적지 문의),8,Customer,약 1시간이요.,About 1 hour.,Yak han-sigan-iyo.,
airport,1. Check-in (체크인),1,Staff,체크인 카운터가 어디예요?,Where is the check-in counter?,Chekeuin kaunteoga eodiyeyo?,
airport,1. Check-in (체크인),2,Customer,어느 항공사예요?,Which airline?,Eoneu hanggongsayeyo?,
airport,1. Check-in (체크인),3,Staff,대한항공이요.,Korean Air.,Daehan-hanggong-iyo.,
airport,1. Check-in (체크인),4,Customer,F구역 3층에 있어요.,It's in Zone F 3rd floor.,F-guyeok sam-cheunge isseoyo.,
airport,1. Check-in (체크인),5,Staff,창가 좌석으로 해 주세요.,Window seat please.,Changga jwaseogeuro hae juseyo.,
airport,1. Check-in (체크인),6,Customer,네 가능해요. 여권 주세요.,Yes possible. Passport please.,Ne ganeunghaeyo. Yeogwon juseyo.,
airport,1. Check-in (체크인),7,Staff,짐은 여기서 부치면 돼요?,Can I check my luggage here?,Jimeun yeogiseo buchimyeon dwaeyo?,
airport,1. Check-in (체크인),8,Customer,네 저울 위에 올려주세요.,Yes put it on the scale.,Ne jeoul wie ollyeojuseyo.,
airport,2. Security Check (보안검색),1,Staff,보안검색대가 어디예요?,Where is security?,Boangeomsakdaega eodiyeyo?,
airport,2. Security Check (보안검색),2,Customer,체크인 후 오른쪽으로 가세요.,Go right after check-in.,Chekeuin hu oreunjjogeuro gaseyo.,
airport,2. Security Check (보안검색),3,Staff,노트북을 꺼내야 해요?,Do I need to take out my laptop?,Noteubuk-eul kkeonaeya haeyo?,
airport,2. Security Check (보안검색),4,Customer,네 따로 트레이에 넣으세요.,Yes put it in a separate tray.,Ne ttaro teure-ie neoeuseyo.,
airport,2. Security Check (보안검색),5,Staff,신발도 벗어야 해요?,Do I need to remove my shoes?,Sinbaldo beoseoya haeyo?,
airport,2. Security Check (보안검색),6,Customer,네 벗어주세요.,Yes please remove them.,Ne beoseojuseyo.,
airport,2. Security Check (보안검색),7,Staff,액체류는 안 돼요?,Liquids are not allowed?,Aekcheryuneun an dwaeyo?,
airport,2. Security Check (보안검색),8,Customer,100ml 이하만 돼요.,Only under 100ml.,Baek ml ihaman dwaeyo.,
airport,3. Boarding (탑승),1,Staff,탑승구가 어디예요?,Where is the boarding gate?,Tapseungguga eodiyeyo?,
airport,3. Boarding (탑승),2,Customer,탑승권 보여주세요.,Show me your boarding pass.,Tapseunggwon boyeojuseyo.,
airport,3. Boarding (탑승),3,Staff,여기요.,Here.,Yeogiyo.,
airport,3. Boarding (탑승),4,Customer,32번 게이트예요. 저쪽이요.,Gate 32. Over there.,Samsip-i-beon geiteu-yeyo. Jeojjog-iyo.,
airport,3. Boarding (탑승),5,Staff,탑승 시간이 언제예요?,What time is boarding?,Tapseung sigani eonjeyeyo?,
airport,3. Boarding (탑승),6,Customer,2시 30분부터요.,From 2:30.,Du-si samsip-bunbuteoyo.,
airport,3. Boarding (탑승),7,Staff,감사합니다.,Thank you.,Gamsahamnida.,
airport,3. Boarding (탑승),8,Customer,좋은 비행 되세요.,Have a good flight.,Joeun bihaeng doeseyo.,
airport,4. Immigration (입국심사),1,Staff,여권 보여주세요.,Passport please.,Yeogwon boyeojuseyo.,
airport,4. Immigration (입국심사),2,Customer,여기요.,Here.,Yeogiyo.,
airport,4. Immigration (입국심사),3,Staff,한국에 온 목적이 뭐예요?,What is your purpose in Korea?,Hanguge on mokjeogi mwoyeyo?,
airport,4. Immigration (입국심사),4,Customer,관광이요.,Tourism.,Gwangwang-iyo.,
airport,4. Immigration (입국심사),5,Staff,며칠 동안 머물러요?,How many days will you stay?,Myeochil dongan meomulleoyo?,
airport,4. Immigration (입국심사),6,Customer,일주일이요.,One week.,Iljuil-iyo.,
airport,4. Immigration (입국심사),7,Staff,어디서 묵어요?,Where will you stay?,Eodiseo mugeoyo?,
airport,4. Immigration (입국심사),8,Customer,명동 호텔이요.,A hotel in Myeongdong.,Myeongdong hotel-iyo.,
airport,5. Lost Luggage (수하물 분실),1,Staff,제 짐이 안 나왔어요.,My luggage didn't come out.,Je jimi an nawasseoyo.,
airport,5. Lost Luggage (수하물 분실),2,Customer,탑승권 보여주세요.,Show me your boarding pass.,Tapseunggwon boyeojuseyo.,
airport,5. Lost Luggage (수하물 분실),3,Staff,가방이 검정색 캐리어예요.,It's a black suitcase.,Gabangi geomjeongsaek kaerieo-yeyo.,
airport,5. Lost Luggage (수하물 분실),4,Customer,찾아볼게요. 연락처 남겨주세요.,I'll look for it. Leave your contact.,Chajavolgeyo. Yeollakcheo namgyeojuseyo.,
airport,5. Lost Luggage (수하물 분실),5,Staff,호텔로 배송해 줄 수 있어요?,Can you deliver it to my hotel?,Hotello baesong hae jul su isseoyo?,
airport,5. Lost Luggage (수하물 분실),6,Customer,네 가능해요.,Yes that's possible.,Ne ganeunghaeyo.,
airport,5. Lost Luggage (수하물 분실),7,Staff,감사합니다. 걱정됐어요.,Thank you. I was worried.,Gamsahamnida. Geokjeongdwaesseoyo.,
airport,5. Lost Luggage (수하물 분실),8,Customer,걱정 마세요. 꼭 찾아드릴게요.,Don't worry. We'll definitely find it.,Geokjeong maseyo. Kkok chajadeurilgeyo.,
market,1. Bargaining (흥정하기),1,Staff,이거 얼마예요?,How much is this?,Igeo eolmayeyo?,
market,1. Bargaining (흥정하기),2,Customer,10000원이요.,10,Man-won-iyo.,
market,1. Bargaining (흥정하기),3,Staff,너무 비싸요. 깎아 주세요.,Too expensive. Give me a discount.,Neomu bissayo. Kkakka juseyo.,
market,1. Bargaining (흥정하기),4,Customer,그럼 8000원에 드릴게요.,Then I'll give it to you for 8,Geureom palcheon-wone deurilgeyo.,
market,1. Bargaining (흥정하기),5,Staff,5000원은 안 돼요?,How about 5,Ocheon-woneun an dwaeyo?,
market,1. Bargaining (흥정하기),6,Customer,그건 너무 싸요. 7000원이요.,That's too cheap. 7,Geugeon neomu ssayo. Chilcheon-won-iyo.,
market,1. Bargaining (흥정하기),7,Staff,좋아요. 살게요.,Okay. I'll buy it.,Joayo. Salgeyo.,
market,1. Bargaining (흥정하기),8,Customer,감사합니다!,Thank you!,Gamsahamnida!,
market,2. Choosing Items (상품 선택),1,Staff,이거 뭐예요?,What is this?,Igeo mwoyeyo?,
market,2. Choosing Items (상품 선택),2,Customer,이건 떡이에요. 한국 전통 음식이요.,This is tteok. Korean traditional food.,Igeon tteog-ieyo. Hanguk jeontong eumsig-iyo.,
market,2. Choosing Items (상품 선택),3,Staff,맛볼 수 있어요?,Can I taste it?,Matbol su isseoyo?,
market,2. Choosing Items (상품 선택),4,Customer,네 여기요. 드셔보세요.,Yes here. Try it.,Ne yeogiyo. Deusyeoboseyo.,
market,2. Choosing Items (상품 선택),5,Staff,맛있네요! 한 봉지 주세요.,Delicious! One bag please.,Masinneyo! Han bongji juseyo.,
market,2. Choosing Items (상품 선택),6,Customer,5000원이요.,5,Ocheon-won-iyo.,
market,2. Choosing Items (상품 선택),7,Staff,두 봉지 사면 얼마예요?,How much for two bags?,Du bongji samyeon eolmayeyo?,
market,2. Choosing Items (상품 선택),8,Customer,8000원에 드릴게요.,I'll give them for 8,Palcheon-wone deurilgeyo.,
market,3. Payment (결제하기),1,Staff,현금만 돼요?,Cash only?,Hyeongeum-man dwaeyo?,
